From	Entry	Gene Names (primary)
XP_721798.1	Q5AJ65	PMC1
XP_717759.2	A0A1D8PJ01	PMA1
XP_713028.2	A0A1D8PF62	PLD1
XP_715338.1	Q5A0L4	PLC2
XP_710534.2	A0A1D8PRE4	PLC1
XP_717639.2	A0A1D8PEB1	PLB5
XP_722492.2	A0A1D8PGF0	PLB4.5
XP_711295.1	A0A1D8PU17	PLB3
XP_713823.2	A0A1D8PPS2	PLB2
XP_713822.1	Q9UWF6	PLB1
XP_712313.2	A0A1D8PPB9	PKH3
XP_716293.2	Q5A3P6	PKH2
XP_723115.1	Q5ANK2	PKC1
XP_712248.1	Q59RA2	PIS1
XP_711725.2	Q59PW0	PIR32
XP_712603.2	Q59SF7	PIR1
XP_718202.1	A0A1D8PRZ6	PIN4
XP_723167.1	Q5ANE7	PIN3
XP_717385.1	Q5A6N1	PIM1
XP_713588.2	A0A1D8PDD1	PIL1
XP_714615.1	Q9UW24	PIKA
XP_712340.2	Q59RQ0	PIF1
XP_019330895.1	A0A1D8PKY4	PHR3
XP_719043.1	O13318	PHR2
XP_717233.2	P43076	PHR1
XP_713757.1	Q59VZ6	PHO91
XP_722671.1	Q5AMP8	PHO89
XP_716461.1	A0A1D8PTX9	PHO88
XP_718476.1	A0A1D8PDP9	PHO87
XP_716039.2	A0A1D8PI08	PHO86
XP_019330643.1	A0A1D8PDA6	PHO85
XP_713038.2	A0A1D8PF54	PHO84
XP_718633.2	A0A1D8PRR1	PHO81
XP_718091.2	A0A1D8PQ97	PHO80
XP_711202.2	A0A1D8PEV2	PHO8
XP_716561.2	A0A1D8PMD1	PHO4
XP_714404.2	A0A1D8PIP3	PHO23
XP_713888.1	Q59WC5	PHO15
XP_714576.2	A0A1D8PIG2	PHO13
XP_722656.1	Q5AMR2	PHO114
XP_713442.1	Q59UY6	PHO113
XP_713416.2	A0A1D8PS71	PHO112
XP_713870.1	Q59WE5	PHO100
XP_716011.2	A0A1D8PI19	PHM7
XP_720310.1	A0A1D8PQR0	PHM5
XP_719526.1	Q5ACY8	PHHB
XP_723184.1	Q5AND0	PHB2
XP_720052.2	A0A1D8PJT2	PHB12
XP_712745.1	Q59SS4	PHB1
XP_019330844.1	A0A1D8PJH8	PHA2
XP_715772.2	A0A1D8PSA9	PGM2
XP_711323.1	P46273	PGK1
XP_713513.1	P83780	PGI1
XP_713316.1	Q59UT5	PGA7
XP_718807.2	Q5AAU3	PGA63
XP_720515.1	Q5AF41	PGA62
XP_718097.2	Q5A8I6	PGA61
XP_719150.2	Q5ABW2	PGA60
XP_723451.1	Q5APJ9	PGA6
XP_720517.1	Q5AF39	PGA59
XP_720639.1	Q5AG46	PGA58
XP_722756.1	Q5AMF7	PGA57
XP_019330973.1	A0A1D8PNU1	PGA56
XP_712591.2	Q59SG9	PGA55
XP_720438.2	Q5AFC2	PGA54
XP_722722.2	Q5AMJ5	PGA53
XP_710476.2	Q59L72	PGA52
XP_710875.2	Q59MD0	PGA50
XP_713787.2	Q59VW6	PGA5
XP_711852.2	Q59QA5	PGA49
XP_710492.2	Q59L96	PGA48
XP_714479.2	Q59Y11	PGA46
XP_718473.2	Q5AA33	PGA45
XP_721785.2	Q5AJK6	PGA44
XP_715565.1	Q5A1A9	PGA43
XP_715562.2	Q5A1B2	PGA42
XP_715561.2	Q5A1B3	PGA41
XP_721943.1	Q5AJY5	PGA4
XP_711087.2	Q59N10	PGA39
XP_720508.2	A0A1D8PLK7	PGA38
XP_721833.1	Q5AK97	PGA37
XP_715764.2	Q5A210	PGA34
XP_720999.1	Q5AHC0	PGA33
XP_719880.1	Q5ADQ7	PGA32
XP_717105.1	Q5A5U9	PGA31
XP_717106.1	Q5A5U6	PGA30
XP_716967.1	Q5A5K7	PGA28
XP_719493.2	Q5AD23	PGA27
XP_718496.2	Q5AA09	PGA26
XP_710504.1	Q59L86	PGA25
XP_713428.1	Q59V01	PGA23
XP_713426.1	Q59V02	PGA22
XP_719482.2	Q5AD34	PGA19
XP_719997.2	Q5AEG7	PGA18
XP_721014.2	Q5AHA4	PGA17
XP_720972.1	Q5AHE8	PGA16
XP_715534.1	Q5A1E1	PGA15
XP_716806.1	Q5A4X8	PGA14
XP_716258.1	Q5A343	PGA13
XP_719359.1	Q5ACP5	PGA12
XP_719370.1	Q5ACN3	PGA11
XP_713355.2	Q59UP6	PGA10
XP_719386.1	Q5ACL7	PGA1
XP_717614.1	Q5A786	PFY1
XP_713912.2	Q59WJ4	PFS2
XP_723439.2	A0A1D8PEF9	PFK26
XP_721378.1	Q5AGZ8	PFK2
XP_721876.1	Q5AK53	PFK1
XP_711338.2	Q59NR8	PFA5
XP_721417.1	Q5AGV7	PFA4
XP_719897.2	Q5ADN9	PFA3
XP_711002.2	A0A1D8PJT4	PEX8
XP_714298.1	Q59WW3	PEX7
XP_714932.1	Q59ZE6	PEX6
XP_713321.1	O74711	PEX5
XP_721949.1	A0A1D8PP96	PEX4
XP_713871.2	A0A1D8PE25	PEX3
XP_710296.1	Q59KM6	PEX22
XP_714905.1	Q59ZH3	PEX2
XP_716272.1	Q5A330	PEX19
XP_714449.1	A0A1D8PI79	PEX17
XP_710192.2	A0A1D8PSW1	PEX14
XP_716417.1	A0A1D8PTW0	PEX13
XP_719458.2	A0A1D8PGB2	PEX12
XP_712102.2	A0A1D8PQD7	PEX11
XP_721303.2	A0A1D8PR43	PEX1
XP_716769.1	Q5A516	PET9
XP_713914.2	A0A1D8PF16	PET127
XP_718513.2	Q5A9Z1	PET112
XP_019330687.1	A0A1D8PES2	PET100
XP_712728.2	A0A1D8PJS7	PEP8
XP_713343.1	Q59UQ8	PEP7
XP_719146.2	A0A1D8PQ14	PEP3
XP_720600.2	A0A1D8PNI0	PEP12
XP_710797.2	A0A1D8PFH5	PEP1
XP_720364.1	A0A1D8PQL5	PEL1
XP_710719.2	A0A1D8PEX7	PEA2
XP_717413.1	A0A1D8PSU2	PDX3
XP_722224.1	Q5AKV6	PDX1
XP_716056.2	A0A1D8PHZ6	PDS5
XP_719540.2	A0A1D8PG38	PDR6
XP_715379.2	A0A1D8PGP3	PDR17
XP_713632.2	A0A1D8PD50	PDR16
XP_716416.1	A0A1D8PTU9	PDK2
XP_716953.2	A0A1D8PR99	PDI1
XP_721471.2	A0A1D8PCV9	PDE2
XP_720545.1	Q5AGE4	PDE1
XP_723548.2	A0A1D8PER5	PDC2
XP_019330908.1	A0A1D8PLD6	PDC12
XP_715533.1	P83779	PDC11
XP_717098.1	Q5A5V6	PDB1
XP_715406.1	Q5A0Z9	PDA1
XP_712640.1	Q59SI6	PCT1
XP_718814.2	A0A1D8PDW6	PCL7
XP_721920.1	Q5AK08	PCL5
XP_711891.1	A0A1D8PEC2	PCL2
XP_712031.2	A0A1D8PNP1	PCL1
XP_718671.1	A0A1D8PRM7	PCK1
XP_711293.1	A0A1D8PU14	PCD1
XP_716629.1	A0A1D8PKE2	PBS2
XP_718861.1	Q5AAN7	PBR1
XP_718106.1	Q5A8H8	PBP2
XP_716754.1	Q5A4J4	PBN1
XP_710700.2	A0A1D8PS97	PAN6
XP_721918.2	Q5AK10	PAN3
XP_723450.2	Q5APK0	PAN2
XP_721009.2	Q5AHB1	PAN1
XP_712644.1	Q59SI2	PAM18
XP_719939.2	Q5AEM8	PAM17
XP_715023.1	Q59ZW9	PAM16
XP_019330834.1	A0A1D8PJA9	PAL1
XP_718069.2	A0A1D8PQ84	PAD1
XP_717782.1	Q5A7Q6	PAC1
XP_721535.1	Q5AI15	PAB1
XP_715440.2	A0A1D8PMP0	OYE32
XP_716740.1	A0A1D8PPM9	OYE23
XP_717925.1	Q5A894	OYE22
XP_716750.2	A0A1D8PPM0	OYE2
XP_719942.2	Q5AEM5	OXR1
XP_714694.1	A0A1D8PK87	OST1
XP_722209.1	Q5AKX2	OSM2
XP_712811.1	Q59T35	OSM1
XP_712812.2	A0A1D8PHG1	OSH4
XP_709957.1	Q59TM0	OSH3
XP_717632.2	A0A1D8PE79	OSH2
XP_718087.1	Q5A8J7	ORM1
XP_716059.2	A0A1D8PI28	ORF298
XP_718112.1	Q5A945	ORC6
XP_712659.1	Q59SM3	ORC5
XP_720532.2	A0A1D8PNC0	ORC4
XP_712743.1	Q59SS7	ORC3
XP_717161.1	Q5A5P1	ORC2
XP_721498.2	A0A1D8PCY1	ORC1
XP_717646.1	Q5A753	OPY2
XP_720554.2	A0A1D8PNH1	OPY1
XP_718105.1	Q5A8H9	OPT8
XP_713354.2	A0A1D8PL16	OPT7
XP_722726.2	A0A1D8PLA0	OPT6
XP_717657.1	Q5A741	OPT5
XP_710713.1	Q59LT5	OPT4
XP_713437.1	A0A1D8PS61	OPT3
XP_713434.1	Q59UZ4	OPT2
XP_718267.2	A0A1D8PS46	OPT1
XP_716107.1	A0A1D8PKM5	OPI3
XP_722586.2	A0A1D8PGK8	OPI1
XP_722145.2	A0A1D8PFJ9	OP4
XP_717231.1	Q5A663	OMA1
XP_714854.2	A0A1D8PHT9	OLE2
XP_717653.1	Q5A747	OLE1
XP_715239.1	A0A1D8PRH2	OGG1
XP_717616.1	Q5A784	OFR1
XP_722182.2	A0A1D8PFN2	OFI1
XP_711450.1	A0A1D8PMB7	OFD1
XP_712312.2	Q59RK9	OCT1
XP_716632.1	Q5A4E3	OCH1
XP_715007.1	A0A1D8PFT4	OCA6
XP_719865.1	Q5ADS3	OCA5
XP_714407.2	Q59XY9	OCA1
XP_714614.1	Q9UW25	OBPA
XP_716076.1	A0A1D8PKE7	OAC1
XP_716337.1	Q5A3K2	NUT2
XP_723174.1	Q5ANE0	NUS1
XP_723103.1	Q5ANL4	NUP85
XP_709939.1	A0A1D8PLW7	NUP84
XP_718100.2	A0A1D8PQA2	NUP82
XP_715556.2	A0A1D8PMK3	NUP60
XP_722193.2	A0A1D8PFQ0	NUP49
XP_723494.2	A0A1D8PEL3	NUP188
XP_710928.1	A0A1D8PKV6	NUP159
XP_721406.1	Q5AGW8	NUP
XP_717615.1	Q5A785	NUO4
XP_712297.2	A0A1D8PPB2	NUO3
XP_719984.1	Q5AEI1	NUO2
XP_711306.1	A0A1D8PU10	NUO1
XP_715704.2	Q5A1Q5	NUF2
XP_711961.2	A0A1D8PD60	NUE2
XP_715750.2	A0A1D8PS89	NUE1
XP_721369.1	Q5AH07	NUC2
XP_718636.1	A0A1D8PRR3	NTH1
XP_717635.2	A0A1D8PE92	NTG1
XP_019330688.1	A0A1D8PES3	NTF2
XP_716236.1	Q5A368	NTE1
XP_716048.2	Q5A2K0	NST1
XP_721021.2	A0A1D8PGV7	NSP1
XP_721375.1	Q5AH01	NSL1
XP_719971.2	A0A1D8PJM6	NSG2
XP_716639.2	Q5A2Y7	NSA2
XP_716088.1	Q5A2Y7	NSA2
XP_716026.1	Q5A2T0	NSA1
XP_717609.1	Q5A791	NRP1
XP_718984.2	A0A1D8PCB2	NRM1
XP_712969.1	Q59T87	NRI2
XP_722491.1	Q5ALY5	NRI1
XP_710507.2	A0A1D8PP98	NRG2
XP_715199.1	Q5A0E5	NRG1
XP_715225.1	A0A1D8PRI0	NPT1
XP_716281.1	Q5A319	NPR3
XP_720023.2	A0A1D8PJR5	NPR2
XP_718821.2	A0A1D8PDY7	NPR1
XP_719504.2	A0A1D8PG62	NPL6
XP_718457.1	Q5AA50	NPL4
XP_715038.1	A0A1D8PFV4	NPL3
XP_717917.2	Q5A8A2	NPC2
XP_717644.2	A0A1D8PE87	NOT5
XP_019331072.1	A0A1D8PSH4	NOT4
XP_019330745.1	Q5AD56	NOT3
XP_711973.2	Q59QH0	NOP9
XP_712104.2	A0A1D8PQD6	NOP8
XP_718825.1	Q5AAS4	NOP6
XP_710406.2	A0A1D8PD99	NOP4
XP_714560.2	Q59YD8	NOP16
XP_720342.1	A0A1D8PQN7	NOP15
XP_723170.1	Q5ANE4	NOP14
XP_719862.1	Q5ADS5	NOP13
XP_720933.2	Q5AHI7	NOP12
XP_019331104.1	A0A1D8PTN4	NOP10
XP_715447.1	Q5A0V9	NOP1
XP_019331013.1	A0A1D8PQ82	NOG2
XP_716625.1	A0A1D8PKD3	NOG1
XP_713159.2	A0A1D8PI20	NOC4
XP_710805.1	Q59M49	NOC2
XP_718187.1	Q5A9E6	NNF1
XP_722713.1	P30418	NMT1
XP_712642.1	Q59SI4	NMD5
XP_722569.1	Q5AM50	NMD4
XP_711779.1	Q59PZ4	NMD3
XP_718111.2	A0A1D8PCD2	NMA111
XP_713955.1	Q59WF0	NIT3
XP_716414.1	A0A1D8PTV6	NIT2
XP_712517.2	A0A1D8PPW6	NIP7
XP_717349.2	A0A1D8PSM7	NIP100
XP_722707.2	Q5AML1	NIP1
XP_717003.2	Q5A599	NIK1
XP_019330936.1	A0A1D8PMG0	NIF3
XP_711253.1	Q59NG8	NHX1
XP_019330907.1	Q9UVL1	NHP6
XP_717389.1	Q5A6M9	NHP2
XP_717767.1	Q5A7S4	NGT1
XP_718673.1	A0A1D8PRM0	NGS1
XP_721521.1	Q5AI28	NGG1
XP_720372.1	P87185	NFS1
XP_713798.2	A0A1D8PF50	NEP1
XP_713593.2	A0A1D8PDD2	NEO1
XP_718518.2	A0A1D8PJ15	NDU1
XP_719565.1	Q5ACU9	NDT80
XP_712921.1	Q59TD5	NDH51
XP_720034.1	Q5AEC9	NDE1
XP_715758.2	Q5A216	NDC80
XP_722706.2	Q5AML2	NCS6
XP_715175.2	Q59ZY9	NCS2
XP_715042.1	A0A1D8PFW9	NCR1
XP_720425.2	A0A1D8PLR7	NCP1
XP_717123.1	Q5A5S9	NCE4
XP_721792.1	Q5AJ71	NCE103
XP_723171.1	Q5ANE3	NCE102
XP_715366.1	Q5A0I6	NCB2
XP_721424.1	Q5AGV0	NBP2
XP_717353.2	A0A1D8PSM5	NAT5
XP_722734.2	A0A1D8PLA7	NAT4
XP_719562.2	A0A1D8PG06	NAT2
XP_717375.1	Q5A6P2	NAT10
XP_723443.2	Q5APK7	NAR1
XP_718658.1	Q5AAI8	NAP1
XP_720441.1	Q5AFB9	NAN1
XP_713133.2	A0A1D8PHZ3	NAM8
XP_716778.1	Q5A507	NAM7
XP_718047.2	A0A1D8PQ56	NAM2
XP_712435.1	Q59RG0	NAG4
XP_712434.2	A0A1D8PQG0	NAG3
XP_712431.2	Q04802	NAG1
XP_719094.1	A0A1D8PPX7	NAB3
XP_719033.1	Q5AB99	NAA25
XP_718835.1	Q5AAR6	NAA20
XP_019330938.1	A0A1D8PMH7	MZT1
XP_717805.1	Q5A7N3	MZM1
XP_710986.2	Q59MQ0	MYO5
XP_722219.1	Q5AKW2	MYO2
XP_711151.2	A0A1D8PN92	MYO1
XP_719477.1	Q5AD39	MXR1
XP_019331023.1	Q3MPQ4	MVP1
XP_019330598.1	A0A1D8PC43	MVD
XP_019331086.1	A0A1D8PSU3	MVB12
XP_711258.1	Q59NG5	MUS81
XP_019330736.1	A0A1D8PG14	MUQ1
XP_716349.1	Q5A3J0	MUP1
XP_721952.1	Q5AJX6	MUM2
XP_715369.1	A0A1D8PGR8	MUD2
XP_712637.2	A0A1D8PL32	MUC1
XP_716077.1	A0A1D8PKL7	MUB1
XP_714541.1	Q59YF9	MTW1
XP_723517.1	Q5APD4	MTS1
XP_019330819.1	A0A1D8PIR7	MTR2
XP_711171.1	A0A1D8PNS3	MTR10
XP_717588.1	Q5A7B1	MTO1
XP_715852.2	A0A1D8PDJ9	MTM1
XP_019330960.1	Q71U11	MTLA2
XP_019330959.1	Q9UW23	MTLA1
XP_711719.1	Q59PR1	MTG2
XP_713217.1	Q59UI0	MTG1
XP_723182.1	Q5AND1	MTC6
XP_720606.1	Q5AG80	MSW1
XP_714466.2	A0A1D8PI61	MSU1
XP_721482.2	A0A1D8PCV0	MST1
XP_719339.1	A0A1D8PU44	MSS51
XP_710436.2	A0A1D8PJ31	MSS4
XP_721909.2	A0A1D8PP45	MSS2
XP_723426.2	Q5APM7	MSS116
XP_711094.2	Q59N20	MSS11
XP_716317.1	Q5A3M2	MSO1
XP_720419.2	A0A1D8PLT4	MSN5
XP_723438.2	A0A1D8PEH3	MSN4
XP_721859.2	A0A1D8PP08	MSM1
XP_721371.2	A0A1D8PQY7	MSK1
XP_718458.1	Q96VB9	MSI3
XP_722156.2	A0A1D8PFM1	MSH6
XP_714452.1	Q59Y41	MSH3
XP_715402.1	Q5A102	MSH2
XP_719488.1	Q5AD28	MSF1
XP_713122.2	A0A1D8PHY1	MSC7
XP_722538.2	A0A1D8PGF8	MSB2
XP_710184.2	A0A1D8PD52	MSB1
XP_721819.2	A0A1D8PNW2	MRV8
XP_721817.2	A0A1D8PNW7	MRV6
XP_721816.2	A0A1D8PNX0	MRV5
XP_721815.1	Q5AKB6	MRV4
XP_721814.1	Q5AKB7	MRV3
XP_721813.2	A0A1D8PNW4	MRV2
XP_722758.2	A0A1D8PL62	MRV1
XP_719113.1	Q5AC00	MRT4
XP_718144.1	A0A1D8PCG9	MRS7
XP_716019.1	Q5A2T7	MRS4
XP_718262.1	Q5A970	MRS2
XP_710938.1	Q59MJ1	MRR2
XP_716613.1	Q5A4G2	MRR1
XP_716299.1	O94150	MRPS9
XP_712336.1	Q59RQ4	MRPL8
XP_718643.1	A0A1D8PRP9	MRPL6
XP_716348.1	Q5A3J1	MRPL51
XP_717347.1	Q5A6S0	MRPL40
XP_712343.2	Q59RP7	MRPL4
XP_713565.1	Q59VH8	MRPL37
XP_714621.1	Q59YH5	MRPL36
XP_019330827.1	A0A1D8PJ23	MRPL33
XP_717602.1	Q5A798	MRPL3
XP_721562.1	Q5AHY8	MRPL27
XP_718820.1	Q5AAS9	MRPL19
XP_714891.1	Q59ZI7	MRPL10
XP_717248.1	Q5A646	MRP8
XP_715251.1	A0A1D8PRG0	MRP7
XP_715783.1	Q5A1Z1	MRP21
XP_718173.2	A0A1D8PCJ1	MRP20
XP_721931.1	Q5AJZ7	MRP2
XP_716786.1	Q5A4Z9	MRP17
XP_719457.2	Q5AD59	MRI1
XP_712520.2	Q59S59	MRH4
XP_713016.1	Q59TU5	MRF1
XP_712486.1	A0A1D8PQT2	MRE11
XP_721723.2	Q5AJS6	MRD1
XP_722196.2	A0A1D8PFN4	MPT5
XP_716428.1	A0A1D8PTW7	MPS1
XP_710480.2	A0A1D8PFZ9	MPP10
XP_715573.2	Q5A1A0	MPH1
XP_710946.1	O93827	MPG1
XP_714424.2	Q59XX2	MP65
XP_722150.2	A0A1D8PFK4	MON2
XP_717342.2	Q5A723	MON1
XP_711589.1	A0A1D8PLT8	MOH1
XP_722231.1	Q5AKU8	MODF
XP_719006.1	Q5ABC6	MOB2
XP_719093.1	Q5AC22	MOB1
XP_711098.1	Q59MZ9	MNT4
XP_710275.2	P87207	MNT3
XP_721740.2	P46592	MNT2
XP_721742.1	Q00310	MNT1
XP_713641.2	A0A1D8PD38	MNS1
XP_713348.1	Q59UQ3	MNR2
XP_716624.1	P53697	MNN9
XP_723457.2	A0A1D8PEJ0	MNN47
XP_715419.2	A0A1D8PMQ3	MNN46
XP_719120.2	A0A1D8PQ19	MNN45
XP_721457.2	A0A1D8PCT7	MNN44
XP_721456.2	A0A1D8PCT5	MNN43
XP_720975.1	Q5AHE5	MNN42
XP_720973.2	A0A1D8PGW8	MNN41
XP_715537.2	A0A1D8PMM6	MNN4
XP_712145.1	Q59R28	MNN26
XP_719445.1	Q5AD72	MNN24
XP_723558.2	Q5AP90	MNN23
XP_717208.1	Q5A687	MNN22
XP_710276.1	Q59KJ7	MNN21
XP_713952.2	Q59WF4	MNN2
XP_713563.2	Q59VL7	MNN15
XP_714702.1	Q59YS7	MNN14
XP_720578.2	Q5AGA9	MNN13
XP_723582.2	Q5APQ8	MNN12
XP_721427.2	A0A1D8PCR3	MNN11
XP_713339.1	Q59UR2	MNN10
XP_720587.1	Q5AGA0	MNN1
XP_712328.2	Q59RR3	MNL1
XP_718531.2	A0A1D8PJ62	MNE1
XP_718651.1	A0A1D8PRP3	MMS22
XP_716078.1	A0A1D8PKF6	MMS21
XP_019330713.1	A0A1D8PFF9	MMS2
XP_712641.2	Q59SI5	MMM1
XP_019330666.1	A0A1D8PDX5	MMD1
XP_717637.1	Q5A762	MLT1
XP_723519.1	Q5APD2	MLS1
XP_722752.2	A0A1D8PL86	MLP1
XP_715055.1	A0A1D8PFX1	MLH3
XP_712616.1	Q59SL0	MLH1
XP_019331069.1	A0A1D8PSE1	MLC1
XP_712818.1	A0A1D8PHG7	MKK2
XP_718680.1	Q5AAG6	MKC1
XP_714248.2	A0A1D8PIF7	MIT1
XP_718690.1	A0A1D8PRL4	MIS12
XP_712654.1	Q59SM8	MIS11
XP_723568.1	Q5AP79	MIR1
XP_019331081.1	A0A1D8PSS3	MIM1
XP_710215.1	A0A1D8PJ05	MIH1
XP_717129.1	Q5A5S3	MIG2
XP_720625.2	A0A1D8PNL1	MIG1
XP_719114.2	A0A1D8PPZ7	MIF2
XP_710952.2	A0A1D8PNU4	MID1
XP_715172.2	Q5A044	MIC60
XP_721476.1	O94030	MIA40
XP_715874.1	Q5A2A2	MHR1
XP_715895.2	A0A1D8PT36	MHP1
XP_722125.1	Q5AL63	MHF1
XP_715417.1	Q5A0Y8	MGT1
XP_720997.1	Q5AHC2	MGR1
XP_721455.2	Q5AI97	MGM101
XP_720443.1	Q5AFB7	MGM1
XP_718192.1	Q5A9E1	MGE1
XP_714447.2	Q59Y46	MFG1
XP_711975.1	Q59QG8	MFALPHA
XP_019330806.1	A0A1D8PI68	MFA1
XP_717351.1	P84149	MEX67
XP_712739.1	Q59ST1	MEU1
XP_719876.1	Q5ADR1	MET8
XP_718219.1	P82610	MET6
XP_717115.1	Q5A5T7	MET4
XP_714403.2	A0A1D8PIQ0	MET32
XP_722228.1	Q9Y872	MET3
XP_720338.1	A0A1D8PQN4	MET28
XP_718283.1	Q5A948	MET2
XP_721777.2	A0A1D8PJ95	MET18
XP_715415.1	Q5A0Z0	MET16
XP_713326.1	Q59US5	MET15
XP_716785.1	Q5A500	MET14
XP_719985.1	Q5AEI0	MET13
XP_714247.2	A0A1D8PIF6	MET10
XP_715352.2	A0A1D8PGS2	MET1
XP_721864.2	A0A1D8PP21	MES1
XP_713353.1	Q59UP8	MEP2
XP_721693.1	A0A1D8PJF2	MEP1
XP_718798.2	Q5AAV3	MEF2
XP_722143.2	Q5AL45	MEF1
XP_715214.1	A0A1D8PRH8	MED9
XP_712923.2	Q59TD3	MED8
XP_719931.1	Q5AEN6	MED7
XP_019330879.1	Q5A2Z1	MED6
XP_710195.2	A0A1D8PSV9	MED5
XP_713135.2	Q59U73	MED4
XP_711863.2	A0A1D8PMH1	MED3
XP_019330915.1	A0A1D8PLN4	MED20
XP_019331000.1	A0A1D8PPP5	MED19
XP_717642.2	A0A1D8PEC5	MED15
XP_720653.2	Q5AG31	MED14
XP_712481.1	Q59S43	MED11
XP_720950.1	Q5AHH0	MED1
XP_711477.1	Q59P51	MEC3
XP_710664.2	Q59LR2	MEC1
XP_723132.1	Q5ANI4	MEA1
XP_719857.2	Q5ADT1	MDS3
XP_719165.2	Q5ABU7	MDR1
XP_722762.2	A0A1D8PL61	MDN1
XP_710877.2	Q59MC8	MDM34
XP_712472.1	Q59S52	MDM12
XP_710612.2	Q59LL4	MDM10
XP_719161.2	A0A1D8PQ34	MDL2
XP_718280.1	Q5A951	MDL1
XP_714933.1	Q59ZE5	MDJ2
XP_711424.1	A0A1D8PNQ8	MDJ1
XP_717126.1	Q5A5S6	MDH1-3
XP_722674.1	Q5AMP4	MDH1-1
XP_718638.1	P83778	MDH1
XP_019330732.1	A0A1D8PFV7	MDG1
XP_720613.1	Q5AG73	MDE1
XP_722189.1	Q5AKZ4	MCU1
XP_711709.2	A0A1D8PT17	MCT1
XP_710845.1	Q59M70	MCR1
XP_721386.1	Q5AGY8	MCP1
XP_718276.2	A0A1D8PS48	MCM6
XP_713158.2	A0A1D8PHW4	MCM3
XP_715131.1	Q5A034	MCM2
XP_720319.1	Q5AFP3	MCM1
XP_718236.1	Q5A995	MCI4
XP_710936.1	Q59MJ2	MCH1
XP_716313.1	Q5A3M6	MCD4
XP_719394.2	A0A1D8PU88	MCD1
XP_723205.1	Q5ANA8	MCA1
XP_723071.2	A0A1D8PJV0	MBP1
XP_718117.1	Q5A940	MBF1
XP_711152.2	A0A1D8PN84	MAS2
XP_721524.2	A0A1D8PCY8	MAS1
XP_710564.2	Q59LF9	MAP2
XP_715236.1	A0A1D8PRG4	MAM33
XP_721890.1	Q5AK39	MAL31
XP_719427.1	A0A1D8PUB9	MAL2
XP_714899.2	Q59ZH9	MAK5
XP_712973.1	A0A1D8PCJ7	MAK32
XP_723125.1	Q5ANI8	MAK21
XP_711491.1	Q59P36	MAK16
XP_019330803.1	A0A1D8PI21	MAF1
XP_716728.1	Q5A4M2	MAE1
XP_713645.1	Q59VQ3	MAD2
XP_711575.2	Q59PD6	MAD1
XP_720360.1	Q5AFK0	MAC1
XP_716109.1	A0A1D8PKJ4	LYS9
XP_711089.1	Q59N08	LYS5
XP_717250.1	Q5A644	LYS4
XP_712932.1	Q59TC4	LYS22
XP_713582.1	Q59VG1	LYS21
XP_721469.2	A0A1D8PCV7	LYS2
XP_717757.2	A0A1D8PJ02	LYS144
XP_723462.2	A0A1D8PEI7	LYS143
XP_723464.2	A0A1D8PEH6	LYS142
XP_719111.1	Q5AC02	LYS14
XP_718193.1	Q5A9D9	LYS12
XP_443225.2	P43065	LYS1
XP_442666.1	Q59QM3	LYP1
XP_719409.1	A0A1D8PUB0	LTV1
XP_019330676.1	A0A1D8PE91	LTP1
XP_714829.2	A0A1D8PHR4	LTE1
XP_710374.1	Q59KV8	LSP1
XP_019330966.1	A0A1D8PNJ9	LSM8
XP_019330969.1	A0A1D8PNP9	LSM7
XP_019331045.1	A0A1D8PRP0	LSM6
XP_715054.2	A0A1D8PFX4	LSM5
XP_019331036.1	A0A1D8PR50	LSM4
XP_716425.1	A0A1D8PTV1	LSM1
XP_019331094.1	A0A1D8PTB5	LSC2
XP_718181.1	Q5A8X6	LSC1
XP_718980.2	A0A1D8PCB0	LRO1
XP_718646.1	A0A1D8PRQ6	LRG1
XP_713138.2	A0A1D8PHX1	LPT1
XP_721382.2	A0A1D8PQX8	LPI9
XP_713581.2	A0A1D8PDE2	LPG20
XP_712495.2	Q59S85	LPE10
XP_712334.1	Q59RQ6	LPD1
XP_721493.2	Q5AI58	LOT5
XP_715202.1	Q5A0E2	LOS1
XP_721719.1	Q5AJF1	LOC1
XP_019331037.1	A0A1D8PR98	LMO1
XP_711210.2	Q59NB8	LKH1
XP_716995.2	Q9P4E6	LIP9
XP_711685.2	Q9P8V9	LIP8
XP_716454.1	Q9P4E7	LIP7
XP_723509.1	Q9P4E8	LIP6
XP_717001.1	Q9P8W0	LIP5
XP_712408.2	Q9P8W1	LIP4
XP_723541.2	Q9P8W2	LIP3
XP_723490.1	Q9P8W5	LIP2
XP_723508.1	Q9P4E5	LIP10
XP_723507.2	O94091	LIP1
XP_715339.2	P52496	LIG4
XP_721349.1	P43075	LIG1
XP_714875.1	Q59Z14	LIA1
XP_715370.2	A0A1D8PGU0	LHS1
XP_711737.2	A0A1D8PE36	LHP1
XP_719563.2	A0A1D8PG00	LEU5
XP_714549.2	A0A1D8PIF8	LEU42
XP_719048.1	Q5AB86	LEU4
XP_720536.2	A0A1D8PND3	LEU3
XP_720371.1	A0A1D8PQK5	LEU2
XP_718655.1	A0A1D8PRP8	LEU1
XP_714901.2	A0A1D8PHB8	LEM3
XP_716568.1	Q5A449	LEA1
XP_721327.2	A0A1D8PR06	LDG3
XP_722218.1	Q5AKW3	LCL3
XP_711696.1	Q59PT4	LCL2
XP_716326.1	Q5A3L3	LCB4
XP_722230.1	Q5AKV0	LCB2
